sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description,customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,status,payment,order_date,delivery_date,delivery_time,age_group
0,1,218,106,2,212,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt",64,fulan 64,Prefer not to say,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,30811.0,2021-08-30,2021-09-24,25.0,Seniors
1,1,481,118,1,118,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket",64,fulan 64,Prefer not to say,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,30811.0,2021-08-30,2021-09-24,25.0,Seniors
2,1,2,96,3,288,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",64,fulan 64,Prefer not to say,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,30811.0,2021-08-30,2021-09-24,25.0,Seniors
3,1,1002,106,2,212,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers",64,fulan 64,Prefer not to say,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,30811.0,2021-08-30,2021-09-24,25.0,Seniors
4,1,691,113,3,339,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket",64,fulan 64,Prefer not to say,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,30811.0,2021-08-30,2021-09-24,25.0,Seniors
5,1,981,106,3,318,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers",64,fulan 64,Prefer not to say,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,30811.0,2021-08-30,2021-09-24,25.0,Seniors
6,2,915,96,1,96,Trousers,Drawstring,XS,orange,104,41,"A orange coloured, XS sized, Drawstring Trousers",473,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,50490.0,2021-02-03,2021-02-13,10.0,Adults
7,2,686,113,1,113,Jacket,Parka,S,blue,119,72,"A blue coloured, S sized, Parka Jacket",473,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,50490.0,2021-02-03,2021-02-13,10.0,Adults
8,2,1091,115,3,345,Trousers,Cropped,S,orange,99,78,"A orange coloured, S sized, Cropped Trousers",473,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,50490.0,2021-02-03,2021-02-13,10.0,Adults
9,2,1196,105,1,105,Trousers,Pleated,S,orange,90,72,"A orange coloured, S sized, Pleated Trousers",473,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,50490.0,2021-02-03,2021-02-13,10.0,Adults
10,2,157,91,3,273,Shirt,Linen,M,green,116,42,"A green coloured, M sized, Linen Shirt",473,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,50490.0,2021-02-03,2021-02-13,10.0,Adults
11,2,1174,99,2,198,Trousers,High-Waisted,XL,green,98,78,"A green coloured, XL sized, High-Waisted Trousers",473,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,50490.0,2021-02-03,2021-02-13,10.0,Adults
12,3,54,104,1,104,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt",774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Active,46763.0,2021-10-08,2021-11-03,26.0,Adults
13,3,6,96,2,192,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Active,46763.0,2021-10-08,2021-11-03,26.0,Adults
14,3,1010,106,2,212,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers",774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Active,46763.0,2021-10-08,2021-11-03,26.0,Adults
15,4,1033,90,1,90,Trousers,Relaxed Leg,L,green,95,62,"A green coloured, L sized, Relaxed Leg Trousers",433,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,39782.0,2021-05-06,2021-05-19,13.0,Adults
16,4,1184,99,3,297,Trousers,High-Waisted,XL,indigo,98,57,"A indigo coloured, XL sized, High-Waisted Trousers",433,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,39782.0,2021-05-06,2021-05-19,13.0,Adults
17,4,769,109,1,109,Jacket,Peacoat,XL,violet,102,42,"A violet coloured, XL sized, Peacoat Jacket",433,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,39782.0,2021-05-06,2021-05-19,13.0,Adults
18,4,923,96,3,288,Trousers,Drawstring,L,yellow,104,68,"A yellow coloured, L sized, Drawstring Trousers",433,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,39782.0,2021-05-06,2021-05-19,13.0,Adults
19,4,12,96,2,192,Shirt,Oxford Cloth,M,yellow,114,56,"A yellow coloured, M sized, Oxford Cloth Shirt",433,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,39782.0,2021-05-06,2021-05-19,13.0,Adults
20,5,148,91,2,182,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,14719.0,2021-03-23,2021-03-24,1.0,Adults
21,5,475,118,2,236,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,14719.0,2021-03-23,2021-03-24,1.0,Adults
22,5,1,96,3,288,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,14719.0,2021-03-23,2021-03-24,1.0,Adults
23,5,830,117,3,351,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,14719.0,2021-03-23,2021-03-24,1.0,Adults
24,5,1209,105,3,315,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,14719.0,2021-03-23,2021-03-24,1.0,Adults
25,5,635,93,3,279,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,14719.0,2021-03-23,2021-03-24,1.0,Adults
26,5,639,93,3,279,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,14719.0,2021-03-23,2021-03-24,1.0,Adults
27,5,695,113,1,113,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,14719.0,2021-03-23,2021-03-24,1.0,Adults
28,6,38,104,2,208,Shirt,Dress,L,red,119,79,"A red coloured, L sized, Dress Shirt",800,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active,16197.0,2021-09-09,2021-10-05,26.0,Adults
29,6,473,118,2,236,Jacket,Puffer,L,green,110,43,"A green coloured, L sized, Puffer Jacket",800,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active,16197.0,2021-09-09,2021-10-05,26.0,Adults
30,6,242,106,1,106,Shirt,Chambray,M,violet,105,72,"A violet coloured, M sized, Chambray Shirt",800,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active,16197.0,2021-09-09,2021-10-05,26.0,Adults
31,6,804,91,2,182,Jacket,Pullover,XL,violet,114,69,"A violet coloured, XL sized, Pullover Jacket",800,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active,16197.0,2021-09-09,2021-10-05,26.0,Adults
32,7,850,113,2,226,Trousers,Chinos,XS,yellow,100,41,"A yellow coloured, XS sized, Chinos Trousers",626,fulan 626,Prefer not to say,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,Active,37666.0,2021-04-05,2021-04-11,6.0,Adults
33,7,1162,99,3,297,Trousers,High-Waisted,M,orange,98,69,"A orange coloured, M sized, High-Waisted Trousers",626,fulan 626,Prefer not to say,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,Active,37666.0,2021-04-05,2021-04-11,6.0,Adults
34,8,765,109,1,109,Jacket,Peacoat,XS,violet,102,54,"A violet coloured, XS sized, Peacoat Jacket",58,fulan 58,Prefer not to say,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,Active,28484.0,2021-04-12,2021-05-01,19.0,Adults
35,8,256,95,2,190,Shirt,Polo,S,yellow,117,77,"A yellow coloured, S sized, Polo Shirt",58,fulan 58,Prefer not to say,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,Active,28484.0,2021-04-12,2021-05-01,19.0,Adults
36,9,203,98,1,98,Shirt,Camp Collared,L,indigo,112,72,"A indigo coloured, L sized, Camp Collared Shirt",852,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,12896.0,2021-05-01,2021-05-11,10.0,Seniors
37,9,486,118,2,236,Jacket,Puffer,S,violet,110,46,"A violet coloured, S sized, Puffer Jacket",852,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,12896.0,2021-05-01,2021-05-11,10.0,Seniors
38,9,708,119,1,119,Jacket,Trench Coat,L,orange,112,70,"A orange coloured, L sized, Trench Coat Jacket",852,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,12896.0,2021-05-01,2021-05-11,10.0,Seniors
39,9,1040,90,2,180,Trousers,Relaxed Leg,XS,indigo,95,60,"A indigo coloured, XS sized, Relaxed Leg Trousers",852,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,12896.0,2021-05-01,2021-05-11,10.0,Seniors
40,9,917,96,3,288,Trousers,Drawstring,M,orange,104,76,"A orange coloured, M sized, Drawstring Trousers",852,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,12896.0,2021-05-01,2021-05-11,10.0,Seniors
41,9,1061,93,2,186,Trousers,Joggers,S,yellow,94,76,"A yellow coloured, S sized, Joggers Trousers",852,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,12896.0,2021-05-01,2021-05-11,10.0,Seniors
42,9,35,104,2,208,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",852,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,12896.0,2021-05-01,2021-05-11,10.0,Seniors
43,10,325,109,3,327,Shirt,Mandarin Collar,XS,yellow,108,45,"A yellow coloured, XS sized, Mandarin Collar Shirt",659,fulan 659,Prefer not to say,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Active,21922.0,2021-10-15,2021-10-16,1.0,Adults
44,10,860,113,2,226,Trousers,Chinos,XS,blue,100,69,"A blue coloured, XS sized, Chinos Trousers",659,fulan 659,Prefer not to say,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Active,21922.0,2021-10-15,2021-10-16,1.0,Adults
45,10,426,107,3,321,Jacket,Denim,S,orange,92,51,"A orange coloured, S sized, Denim Jacket",659,fulan 659,Prefer not to say,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Active,21922.0,2021-10-15,2021-10-16,1.0,Adults
46,11,877,94,2,188,Trousers,Cords,M,red,113,68,"A red coloured, M sized, Cords Trousers",785,fulan 785,Prefer not to say,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,Active,36624.0,2021-06-15,2021-06-30,15.0,Adults
47,11,780,91,3,273,Jacket,Pullover,XS,yellow,114,65,"A yellow coloured, XS sized, Pullover Jacket",785,fulan 785,Prefer not to say,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,Active,36624.0,2021-06-15,2021-06-30,15.0,Adults
48,12,782,91,1,91,Jacket,Pullover,M,yellow,114,49,"A yellow coloured, M sized, Pullover Jacket",120,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active,55507.0,2021-06-30,2021-07-11,11.0,Adults
49,12,632,93,2,186,Jacket,Coach,M,red,115,76,"A red coloured, M sized, Coach Jacket",120,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active,55507.0,2021-06-30,2021-07-11,11.0,Adults
